,Team_Name,Division_id,Conference_id,Date,Team Played,Win,Total Wins
0,Atlanta Hawks,Southeast,East,2016-10-27,Washington Wizards,1.0,1.0
1,Atlanta Hawks,Southeast,East,2016-10-29,Philadelphia 76ers,1.0,2.0
2,Atlanta Hawks,Southeast,East,2016-10-31,Sacramento Kings,1.0,3.0
3,Atlanta Hawks,Southeast,East,2016-11-02,Los Angeles Lakers,0.0,3.0
4,Atlanta Hawks,Southeast,East,2016-11-04,Washington Wizards,0.0,3.0
5,Atlanta Hawks,Southeast,East,2016-11-05,Houston Rockets,1.0,4.0
6,Atlanta Hawks,Southeast,East,2016-11-08,Cleveland Cavaliers,1.0,5.0
7,Atlanta Hawks,Southeast,East,2016-11-09,Chicago Bulls,1.0,6.0
8,Atlanta Hawks,Southeast,East,2016-11-12,Philadelphia 76ers,1.0,7.0
9,Atlanta Hawks,Southeast,East,2016-11-15,Miami Heat,1.0,8.0
10,Atlanta Hawks,Southeast,East,2016-11-16,Milwaukee Bucks,1.0,9.0
11,Atlanta Hawks,Southeast,East,2016-11-18,Charlotte Hornets,0.0,9.0
12,Atlanta Hawks,Southeast,East,2016-11-20,New York Knicks,0.0,9.0
13,Atlanta Hawks,Southeast,East,2016-11-22,New Orleans Pelicans,0.0,9.0
14,Atlanta Hawks,Southeast,East,2016-11-23,Indiana Pacers,1.0,10.0
15,Atlanta Hawks,Southeast,East,2016-11-25,Utah Jazz,0.0,10.0
16,Atlanta Hawks,Southeast,East,2016-11-27,Los Angeles Lakers,0.0,10.0
17,Atlanta Hawks,Southeast,East,2016-11-28,Golden State Warriors,0.0,10.0
18,Atlanta Hawks,Southeast,East,2016-11-30,Phoenix Suns,0.0,10.0
19,Atlanta Hawks,Southeast,East,2016-12-02,Detroit Pistons,0.0,10.0
20,Atlanta Hawks,Southeast,East,2016-12-03,Toronto Raptors,0.0,10.0
21,Atlanta Hawks,Southeast,East,2016-12-05,Oklahoma City Thunder,0.0,10.0
22,Atlanta Hawks,Southeast,East,2016-12-07,Miami Heat,1.0,11.0
23,Atlanta Hawks,Southeast,East,2016-12-09,Milwaukee Bucks,1.0,12.0
24,Atlanta Hawks,Southeast,East,2016-12-13,Orlando Magic,0.0,12.0
25,Atlanta Hawks,Southeast,East,2016-12-16,Toronto Raptors,1.0,13.0
26,Atlanta Hawks,Southeast,East,2016-12-17,Charlotte Hornets,0.0,13.0
27,Atlanta Hawks,Southeast,East,2016-12-19,Oklahoma City Thunder,1.0,14.0
28,Atlanta Hawks,Southeast,East,2016-12-21,Minnesota Timberwolves,0.0,14.0
29,Atlanta Hawks,Southeast,East,2016-12-23,Denver Nuggets,1.0,15.0
30,Atlanta Hawks,Southeast,East,2016-12-26,Minnesota Timberwolves,0.0,15.0
31,Atlanta Hawks,Southeast,East,2016-12-28,New York Knicks,1.0,16.0
32,Atlanta Hawks,Southeast,East,2016-12-30,Detroit Pistons,1.0,17.0
33,Atlanta Hawks,Southeast,East,2017-01-01,San Antonio Spurs,1.0,18.0
34,Atlanta Hawks,Southeast,East,2017-01-04,Orlando Magic,1.0,19.0
35,Atlanta Hawks,Southeast,East,2017-01-05,New Orleans Pelicans,1.0,20.0
36,Atlanta Hawks,Southeast,East,2017-01-07,Dallas Mavericks,1.0,21.0
37,Atlanta Hawks,Southeast,East,2017-01-10,Brooklyn Nets,1.0,22.0
38,Atlanta Hawks,Southeast,East,2017-01-13,Boston Celtics,0.0,22.0
39,Atlanta Hawks,Southeast,East,2017-01-15,Milwaukee Bucks,1.0,23.0
40,Atlanta Hawks,Southeast,East,2017-01-16,New York Knicks,1.0,24.0
41,Atlanta Hawks,Southeast,East,2017-01-18,Detroit Pistons,0.0,24.0
42,Atlanta Hawks,Southeast,East,2017-01-20,Chicago Bulls,1.0,25.0
43,Atlanta Hawks,Southeast,East,2017-01-21,Philadelphia 76ers,1.0,26.0
44,Atlanta Hawks,Southeast,East,2017-01-23,LA Clippers,0.0,26.0
45,Atlanta Hawks,Southeast,East,2017-01-25,Chicago Bulls,1.0,27.0
46,Atlanta Hawks,Southeast,East,2017-01-27,Washington Wizards,0.0,27.0
47,Atlanta Hawks,Southeast,East,2017-01-29,New York Knicks,1.0,28.0
48,Atlanta Hawks,Southeast,East,2017-02-01,Miami Heat,0.0,28.0
49,Atlanta Hawks,Southeast,East,2017-02-02,Houston Rockets,1.0,29.0
50,Atlanta Hawks,Southeast,East,2017-02-04,Orlando Magic,1.0,30.0
51,Atlanta Hawks,Southeast,East,2017-02-06,Utah Jazz,0.0,30.0
52,Atlanta Hawks,Southeast,East,2017-02-08,Denver Nuggets,1.0,31.0
53,Atlanta Hawks,Southeast,East,2017-02-10,Sacramento Kings,0.0,31.0
54,Atlanta Hawks,Southeast,East,2017-02-13,Portland Trail Blazers,1.0,32.0
55,Atlanta Hawks,Southeast,East,2017-02-15,LA Clippers,0.0,32.0
56,Atlanta Hawks,Southeast,East,2017-02-24,Miami Heat,0.0,32.0
57,Atlanta Hawks,Southeast,East,2017-02-25,Orlando Magic,0.0,32.0
58,Atlanta Hawks,Southeast,East,2017-02-27,Boston Celtics,1.0,33.0
59,Atlanta Hawks,Southeast,East,2017-03-01,Dallas Mavericks,1.0,34.0
